Item_Weight,Item_Visibility,Item_Outlet_Sales,Outlet_Years,Item_Fat_Content_Regular,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Size_Unknown,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_MRP_Category_2,Item_MRP_Category_3,Item_MRP_Category_4
9.3,0.015919904174950657,3735.138,26,0,1,0,0,0,0,1,0,0,0,0,1
5.92,0.019094745434374644,443.4228,16,1,1,0,0,0,1,0,1,0,0,0,0
17.5,0.016621174779953313,2097.27,26,0,1,0,0,0,0,1,0,0,0,1,0
19.2,0.0,732.38,27,1,0,0,1,0,1,0,0,0,0,1,0
8.93,0.0,994.7052,38,0,0,0,0,0,1,1,0,0,0,0,0
10.395,0.0,556.6088,16,1,1,0,0,0,1,0,1,0,0,0,0
13.65,0.012660604246845704,343.5528,38,1,0,0,0,0,1,1,0,0,0,0,0
12.857645184135976,0.11997605766925581,4022.7636,40,0,1,0,0,0,1,0,0,1,1,0,0
16.2,0.016549413880111906,1076.5986,23,1,0,0,1,1,0,1,0,0,1,0,0
19.2,0.09025157935956865,4710.535,18,1,0,0,1,1,0,1,0,0,0,1,0
11.8,0.0,1516.0266,26,0,1,0,0,0,0,1,0,0,0,0,0
18.5,0.04446058887970794,2187.153,28,1,0,1,0,0,0,1,0,0,0,1,0
15.1,0.09532245245628829,1589.2646,26,1,1,0,0,0,0,1,0,0,0,1,0
17.6,0.04617467819460066,2145.2076,28,1,0,1,0,0,0,1,0,0,1,0,0
16.35,0.06581049308815062,1977.426,38,0,0,0,0,0,1,1,0,0,0,1,0
9.0,0.06680684747657258,1547.3192,28,1,0,1,0,0,0,1,0,0,0,0,0
11.8,0.008559315324645283,1621.8888,16,0,1,0,0,0,1,0,1,0,1,0,0
9.0,0.06690731582682657,718.3982,26,1,1,0,0,0,0,1,0,0,0,0,0
12.857645184135976,0.033664616208690316,2303.668,40,0,1,0,0,0,1,0,0,1,1,0,0
13.35,0.09757318092103104,2748.4224,21,0,0,1,0,1,0,1,0,0,0,0,1
18.85,0.1294395247149753,3775.086,38,1,0,0,0,0,1,1,0,0,0,0,1
12.857645184135976,0.034787751118266916,4064.0432,40,1,1,0,0,0,1,0,0,1,0,1,0
14.6,0.025373487084180024,1587.2672,21,0,0,1,0,1,0,1,0,0,0,1,0
12.857645184135976,0.05596152930377379,214.3876,40,0,0,1,0,0,0,0,0,0,1,0,0
13.85,0.02556684984579099,4078.025,28,1,0,1,0,0,0,1,0,0,0,1,0
13.0,0.09520754090076917,838.908,18,0,0,0,1,1,0,1,0,0,0,0,0
7.645,0.06456361801014202,1065.28,21,1,0,1,0,1,0,1,0,0,0,0,0
11.65,0.019171184841092558,308.9312,38,0,0,0,0,0,1,1,0,0,0,0,0
5.925,0.149683460071088,178.4344,27,1,0,0,1,0,1,0,0,0,0,0,0
12.857645184135976,0.06973294516485708,125.8362,40,1,0,1,0,0,0,0,0,0,0,0,0
19.25,0.1573016112818406,163.7868,27,0,0,0,1,0,1,0,0,0,0,0,0
18.6,0.07772868346038986,2741.7644,16,0,1,0,0,0,1,0,1,0,1,0,0
18.7,0.0,3068.0064,16,0,1,0,0,0,1,0,1,0,0,0,1
17.85,0.0,2174.5028,23,0,0,0,1,1,0,1,0,0,1,0,0
17.5,0.09340293398494309,2085.2856,28,0,0,1,0,0,0,1,0,0,0,1,0
10.0,0.08552715165527887,3791.0652,26,0,1,0,0,0,0,1,0,0,0,1,0
12.857645184135976,0.05780824731909687,2797.6916,40,1,1,0,0,0,1,0,0,1,1,0,0
8.85,0.10717038056382121,1609.9044,16,1,1,0,0,0,1,0,1,0,1,0,0
12.857645184135976,0.11610291660202872,388.1614,40,1,1,0,0,0,1,0,0,1,0,0,0
12.857645184135976,0.026136402993953124,2180.495,40,0,1,0,0,0,1,0,0,1,1,0,0
13.35,0.09759076275154552,3435.528,28,0,0,1,0,0,0,1,0,0,0,0,1
9.8,0.026465118821434035,2150.534,38,0,0,0,0,0,1,1,0,0,1,0,0
13.6,0.11137888210414607,2527.3768,26,0,1,0,0,0,0,1,0,0,0,1,0
21.35,0.06681982105551165,6768.5228,16,0,1,0,0,0,1,0,1,0,0,0,1
12.15,0.04140857476841836,373.5138,38,1,0,0,0,0,1,1,0,0,1,0,0
6.42,0.08571788962876113,358.2004,27,0,0,0,1,0,1,0,0,0,0,1,0
19.6,0.0,2428.8384,23,0,0,0,1,1,0,1,0,0,0,1,0
10.0,0.02555036851499322,5815.0972,23,0,0,0,1,1,0,1,0,0,0,0,1
15.85,0.11478541037479005,2576.646,28,1,0,1,0,0,0,1,0,0,0,0,0
12.857645184135976,0.22745018125657904,780.3176,40,1,0,1,0,0,0,0,0,0,0,1,0
7.39,0.06558145709075107,3134.5864,28,0,0,1,0,0,0,1,0,0,0,1,0
10.195,0.14825089857918916,850.8924,38,0,0,0,0,0,1,1,0,0,0,1,0
9.895,0.02829288674542277,810.9444,38,1,0,0,0,0,1,1,0,0,1,0,0
10.895,0.0630138415917111,3121.2704,18,0,0,0,1,1,0,1,0,0,0,1,0
12.15,0.028354206133099937,4815.0656,18,0,0,0,1,1,0,1,0,0,0,1,0
7.905,0.010002908678850772,6258.52,16,0,1,0,0,0,1,0,1,0,0,0,1
9.195,0.047033706309606994,2117.244,23,0,0,0,1,1,0,1,0,0,1,0,0
8.365,0.06948706655245147,796.9626,26,0,1,0,0,0,0,1,0,0,0,0,0
15.1,0.15997480435416286,4910.275,28,0,0,1,0,0,0,1,0,0,0,1,0
12.857645184135976,0.05928930903595658,892.172,40,0,0,1,0,0,0,0,0,0,0,1,0
10.0,0.0,3185.1872,16,0,1,0,0,0,1,0,1,0,0,0,1
7.97,0.03928910600674447,1062.6168,23,1,0,0,1,1,0,1,0,0,1,0,0
12.857645184135976,0.012017572833334891,484.7024,40,0,1,0,0,0,1,0,0,1,0,0,0
12.857645184135976,0.14001059841420502,147.8076,40,1,0,1,0,0,0,0,0,0,0,0,0
12.857645184135976,0.02568287236517923,2543.356,40,0,1,0,0,0,1,0,0,1,0,0,1
17.7,0.17820327664076643,184.4266,27,0,0,0,1,0,1,0,0,0,0,1,0
19.35,0.03254677554745904,4865.6664,21,0,0,1,0,1,0,1,0,0,0,1,0
13.65,0.07598506039219782,1118.544,23,1,0,0,1,1,0,1,0,0,0,1,0
17.6,0.040854719744779125,2302.3364,23,0,0,0,1,1,0,1,0,0,0,1,0
8.645,0.13402608287012394,2027.361,28,0,0,1,0,0,0,1,0,0,1,0,0
15.6,0.10011323754215559,3435.528,28,1,0,1,0,0,0,1,0,0,0,1,0
15.85,0.11469516285828994,599.22,38,1,0,0,0,0,1,1,0,0,0,0,0
18.25,0.0,4604.6728,23,0,0,0,1,1,0,1,0,0,0,1,0
7.855,0.01126121582235754,2285.0256,18,0,0,0,1,1,0,1,0,0,0,1,0
7.825,0.17088739183660226,5580.7356,26,0,1,0,0,0,0,1,0,0,0,0,1
8.39,0.023917347271811027,2290.352,28,1,0,1,0,0,0,1,0,0,1,0,0
12.85,0.03269060757874065,1207.0954,26,0,1,0,0,0,0,1,0,0,0,1,0
12.857645184135976,0.10770607228787907,643.1628,40,0,0,1,0,0,0,0,0,0,1,0,0
